Loaded 844 biological neurons from model/best_params.pickle (bin_size=20, activation_bin_size=20, evr>0.7).
Launching 15 task(s) with 7 worker(s): ['cuda:0', 'cuda:1', 'cuda:2', 'cuda:4', 'cuda:5', 'cuda:6', 'cuda:7']
Started random run 2 | seed=1235 | device=cuda:1 | trainable_params=22538 | total_params=23184
Epoch 028/300 | train_loss=10.1721 | train_acc=0.9748 | test_loss=3.7505 | test_acc=0.7811
Epoch 025/300 | train_loss=16.2916 | train_acc=0.9599 | test_loss=3.0048 | test_acc=0.7626
Epoch 025/300 | train_loss=14.1940 | train_acc=0.9648 | test_loss=3.1063 | test_acc=0.6586
Epoch 025/300 | train_loss=271.5387 | train_acc=0.1124 | test_loss=46.0193 | test_acc=0.1135
Epoch 026/300 | train_loss=11.0327 | train_acc=0.9728 | test_loss=2.6449 | test_acc=0.8188
Epoch 026/300 | train_loss=15.2419 | train_acc=0.9619 | test_loss=3.0295 | test_acc=0.7199
Epoch 024/300 | train_loss=271.5486 | train_acc=0.1124 | test_loss=46.0193 | test_acc=0.1135
Epoch 029/300 | train_loss=10.3870 | train_acc=0.9742 | test_loss=2.1906 | test_acc=0.8964
Epoch 026/300 | train_loss=271.5437 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
Epoch 026/300 | train_loss=13.1806 | train_acc=0.9675 | test_loss=2.7799 | test_acc=0.7366
Epoch 026/300 | train_loss=16.2308 | train_acc=0.9597 | test_loss=2.6473 | test_acc=0.8063
Epoch 027/300 | train_loss=10.7445 | train_acc=0.9737 | test_loss=2.0967 | test_acc=0.8369
Epoch 030/300 | train_loss=10.1868 | train_acc=0.9751 | test_loss=2.5614 | test_acc=0.8986
Epoch 027/300 | train_loss=14.9109 | train_acc=0.9630 | test_loss=3.0411 | test_acc=0.6504
Epoch 025/300 | train_loss=271.5432 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
Epoch 027/300 | train_loss=271.5457 | train_acc=0.1124 | test_loss=46.0189 | test_acc=0.1135
Epoch 027/300 | train_loss=13.1764 | train_acc=0.9670 | test_loss=4.0245 | test_acc=0.5890
Epoch 027/300 | train_loss=14.4093 | train_acc=0.9636 | test_loss=2.9809 | test_acc=0.7543
Epoch 028/300 | train_loss=10.1674 | train_acc=0.9752 | test_loss=2.4738 | test_acc=0.8632
Epoch 031/300 | train_loss=10.7253 | train_acc=0.9733 | test_loss=2.3177 | test_acc=0.8195
Epoch 028/300 | train_loss=14.8193 | train_acc=0.9631 | test_loss=2.7646 | test_acc=0.7377
Epoch 026/300 | train_loss=271.5433 | train_acc=0.1124 | test_loss=46.0196 | test_acc=0.1135
Epoch 028/300 | train_loss=271.5428 | train_acc=0.1124 | test_loss=46.0196 | test_acc=0.1135
Epoch 028/300 | train_loss=15.1008 | train_acc=0.9620 | test_loss=3.6934 | test_acc=0.8375
Epoch 028/300 | train_loss=13.5246 | train_acc=0.9665 | test_loss=2.8642 | test_acc=0.7948
Epoch 029/300 | train_loss=9.9732 | train_acc=0.9762 | test_loss=2.1882 | test_acc=0.8813
Epoch 032/300 | train_loss=9.1416 | train_acc=0.9773 | test_loss=2.2974 | test_acc=0.9033
Epoch 029/300 | train_loss=13.6699 | train_acc=0.9661 | test_loss=3.5202 | test_acc=0.6629
Epoch 029/300 | train_loss=14.4846 | train_acc=0.9648 | test_loss=3.2168 | test_acc=0.7137
Epoch 027/300 | train_loss=271.5444 | train_acc=0.1124 | test_loss=46.0193 | test_acc=0.1135
Epoch 029/300 | train_loss=12.2682 | train_acc=0.9696 | test_loss=2.4165 | test_acc=0.7789
Epoch 029/300 | train_loss=271.5378 | train_acc=0.1124 | test_loss=46.0192 | test_acc=0.1135
Epoch 033/300 | train_loss=8.9075 | train_acc=0.9776 | test_loss=1.9682 | test_acc=0.8343
Epoch 030/300 | train_loss=10.0940 | train_acc=0.9750 | test_loss=2.1512 | test_acc=0.9103
Epoch 030/300 | train_loss=13.7344 | train_acc=0.9662 | test_loss=3.2033 | test_acc=0.6636
Epoch 030/300 | train_loss=13.8210 | train_acc=0.9659 | test_loss=2.4975 | test_acc=0.8179
Epoch 028/300 | train_loss=271.5471 | train_acc=0.1124 | test_loss=46.0191 | test_acc=0.1135
Epoch 030/300 | train_loss=11.3934 | train_acc=0.9722 | test_loss=3.0830 | test_acc=0.7322
Epoch 030/300 | train_loss=271.5340 | train_acc=0.1124 | test_loss=46.0191 | test_acc=0.1135
Epoch 034/300 | train_loss=9.2032 | train_acc=0.9768 | test_loss=2.2712 | test_acc=0.8729
Epoch 031/300 | train_loss=9.6543 | train_acc=0.9767 | test_loss=2.0340 | test_acc=0.9089
Epoch 031/300 | train_loss=13.5511 | train_acc=0.9664 | test_loss=2.9666 | test_acc=0.7427
Epoch 031/300 | train_loss=13.3534 | train_acc=0.9662 | test_loss=2.8432 | test_acc=0.7767
Epoch 029/300 | train_loss=271.5413 | train_acc=0.1124 | test_loss=46.0195 | test_acc=0.1135
Epoch 031/300 | train_loss=11.2637 | train_acc=0.9725 | test_loss=2.8247 | test_acc=0.6729
Epoch 035/300 | train_loss=8.3084 | train_acc=0.9797 | test_loss=2.0903 | test_acc=0.8934
Epoch 031/300 | train_loss=271.5419 | train_acc=0.1124 | test_loss=46.0190 | test_acc=0.1135
Epoch 032/300 | train_loss=9.3358 | train_acc=0.9776 | test_loss=2.4366 | test_acc=0.8922
Epoch 032/300 | train_loss=12.5761 | train_acc=0.9691 | test_loss=2.7180 | test_acc=0.6635
Epoch 032/300 | train_loss=13.7790 | train_acc=0.9655 | test_loss=3.3002 | test_acc=0.6877
Epoch 036/300 | train_loss=8.1231 | train_acc=0.9801 | test_loss=2.3033 | test_acc=0.9056
Epoch 030/300 | train_loss=271.5434 | train_acc=0.1124 | test_loss=46.0191 | test_acc=0.1135
Epoch 032/300 | train_loss=12.1645 | train_acc=0.9701 | test_loss=2.8982 | test_acc=0.6779
Epoch 032/300 | train_loss=271.5446 | train_acc=0.1124 | test_loss=46.0192 | test_acc=0.1135
Epoch 033/300 | train_loss=9.3314 | train_acc=0.9776 | test_loss=2.4605 | test_acc=0.8637
Epoch 033/300 | train_loss=13.3428 | train_acc=0.9662 | test_loss=2.6019 | test_acc=0.7128
Epoch 033/300 | train_loss=12.1477 | train_acc=0.9695 | test_loss=2.8520 | test_acc=0.7632
Epoch 037/300 | train_loss=7.9799 | train_acc=0.9803 | test_loss=2.2971 | test_acc=0.8696
Epoch 031/300 | train_loss=271.5432 | train_acc=0.1124 | test_loss=46.0191 | test_acc=0.1135
Epoch 033/300 | train_loss=271.5418 | train_acc=0.1124 | test_loss=46.0191 | test_acc=0.1135
Epoch 033/300 | train_loss=10.9455 | train_acc=0.9727 | test_loss=3.4116 | test_acc=0.8125
Epoch 034/300 | train_loss=8.7679 | train_acc=0.9789 | test_loss=2.3292 | test_acc=0.9234
Epoch 034/300 | train_loss=13.0528 | train_acc=0.9675 | test_loss=2.8969 | test_acc=0.6880
Epoch 038/300 | train_loss=8.8719 | train_acc=0.9781 | test_loss=2.6933 | test_acc=0.8474
Epoch 034/300 | train_loss=12.6790 | train_acc=0.9677 | test_loss=2.5707 | test_acc=0.8213
Epoch 032/300 | train_loss=271.5380 | train_acc=0.1124 | test_loss=46.0197 | test_acc=0.1135
Epoch 034/300 | train_loss=10.9554 | train_acc=0.9730 | test_loss=2.3474 | test_acc=0.6933
Epoch 034/300 | train_loss=271.5301 | train_acc=0.1124 | test_loss=46.0191 | test_acc=0.1135
